region,service_centre,hardship_type,quarter,amount
Waikato,Huntly,Gas Assistance,Mar 2023,392.04
Waikato,Huntly,Gas Assistance,Jun 2023,0
Waikato,Huntly,Gas Assistance,Sep 2023,1033.66
Waikato,Huntly,Gas Assistance,Dec 2023,469.1
Waikato,Huntly,Gas Assistance,Mar 2024,586.25
Waikato,Huntly,Gas Assistance,Jun 2024,444.5
Waikato,Huntly,Gas Assistance,Sep 2024,600.49
Waikato,Huntly,Gas Assistance,Dec 2024,0
Waikato,Huntly,Gas Assistance,Mar 2025,376.9
Waikato,Huntly,Gas Assistance,Jun 2025,0
Waikato,Huntly,Gas Assistance,Sep 2025,0
Waikato,Huntly,Gas Assistance,Dec 2025,0
Waikato,Huntly,Gas Assistance,Mar 2026,48
Waikato,Huntly,Stranded Travel - Petrol,Mar 2023,1500
Waikato,Huntly,Stranded Travel - Petrol,Jun 2023,710
Waikato,Huntly,Stranded Travel - Petrol,Sep 2023,2410
